Unnamed: 0,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House,Gender,Bill
2381,H000452,"Heineman, Frederick K. (Fred)",Republican,North Carolina,https://api.congress.gov/v3/member/H000452?format=json,4.0,,,1995.0,1997.0,,N,,2.0,N,Y,U,4.0
2382,H000449,"Heftel, Cecil",Democratic,Hawaii,https://api.congress.gov/v3/member/H000449?format=json,1.0,,,1977.0,1987.0,,N,,10.0,N,Y,U,160.0
2383,H000448,"Hefner, W. G. (Bill)",Democratic,North Carolina,https://api.congress.gov/v3/member/H000448?format=json,8.0,,,1975.0,1999.0,,N,,24.0,N,Y,U,80.0
2384,H000444,"Hefley, Joel",Republican,Colorado,https://api.congress.gov/v3/member/H000444?format=json,5.0,,,1987.0,2007.0,,N,,20.0,N,Y,U,295.0
2385,H000440,"Heckler, Margaret M.",Republican,Massachusetts,https://api.congress.gov/v3/member/H000440?format=json,10.0,,,1967.0,1983.0,,N,,16.0,N,Y,U,180.0
2386,H000438,"Hechler, Ken",Democratic,West Virginia,https://api.congress.gov/v3/member/H000438?format=json,4.0,,,1959.0,1977.0,,N,,18.0,N,Y,U,124.0
2387,H000437,"Hebert, F. Edward",Democratic,Louisiana,https://api.congress.gov/v3/member/H000437?format=json,1.0,,,1941.0,1977.0,,N,,36.0,N,Y,U,60.0
2388,H000413,"Hayworth, J. D.",Republican,Arizona,https://api.congress.gov/v3/member/H000413?format=json,5.0,,,1995.0,2007.0,,N,,12.0,N,Y,U,154.0
2389,H000408,"Hays, Wayne L.",Democratic,Ohio,https://api.congress.gov/v3/member/H000408?format=json,18.0,,,1949.0,1977.0,,N,,28.0,N,Y,U,81.0
2390,H000392,"Hayes, Philip H.",Democratic,Indiana,https://api.congress.gov/v3/member/H000392?format=json,8.0,,,1975.0,1977.0,,N,,2.0,N,Y,U,9.0
2391,H000390,"Hayes, James A.",Republican,Louisiana,https://api.congress.gov/v3/member/H000390?format=json,7.0,,,1987.0,1997.0,,N,,10.0,N,Y,U,58.0
2392,H000388,"Hayes, Charles A.",Democratic,Illinois,https://api.congress.gov/v3/member/H000388?format=json,1.0,,,1983.0,1993.0,,N,,10.0,N,Y,U,36.0
2393,H000367,"Hawkins, Augustus F.",Democratic,California,https://api.congress.gov/v3/member/H000367?format=json,29.0,,,1963.0,1991.0,,N,,28.0,N,Y,U,248.0
2394,H000340,"Hatcher, Charles",Democratic,Georgia,https://api.congress.gov/v3/member/H000340?format=json,2.0,,,1981.0,1993.0,,N,,12.0,N,Y,U,23.0
2395,H000327,"Hastings, James F.",Republican,New York,https://api.congress.gov/v3/member/H000327?format=json,39.0,,,1969.0,1977.0,,N,,8.0,N,Y,U,98.0
2396,H000329,"Hastings, Doc",Republican,Washington,https://api.congress.gov/v3/member/H000329?format=json,4.0,,,1995.0,2015.0,,N,,20.0,N,Y,U,304.0
2397,H000323,"Hastert, J. Dennis",Republican,Illinois,https://api.congress.gov/v3/member/H000323?format=json,14.0,,,1987.0,2007.0,,N,,20.0,N,Y,U,67.0
2398,H000306,"Harvey, James",Republican,Michigan,https://api.congress.gov/v3/member/H000306?format=json,8.0,,,1961.0,1975.0,,N,,14.0,N,Y,U,22.0
2399,H000302,"Hartnett, Thomas F.",Republican,South Carolina,https://api.congress.gov/v3/member/H000302?format=json,1.0,,,1981.0,1987.0,,N,,6.0,N,Y,U,47.0
2400,H000281,"Harsha, William H.",Republican,Ohio,https://api.congress.gov/v3/member/H000281?format=json,6.0,,,1961.0,1981.0,,N,,20.0,N,Y,U,80.0
2401,H000269,"Harrison, Frank",Democratic,Pennsylvania,https://api.congress.gov/v3/member/H000269?format=json,11.0,,,1983.0,1985.0,,N,,2.0,N,Y,U,5.0
2402,H000241,"Harris, Herbert E., II",Democratic,Virginia,https://api.congress.gov/v3/member/H000241?format=json,8.0,,,1975.0,1981.0,,N,,6.0,N,Y,U,149.0
2403,H000236,"Harris, Claude",Democratic,Alabama,https://api.congress.gov/v3/member/H000236?format=json,7.0,,,1987.0,1993.0,,N,,6.0,N,Y,U,10.0
