Unnamed: 0,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Gender,Bill
487,K000389,"Khanna, Ro",Democratic,California,https://api.congress.gov/v3/member/K000389?format=json,17.0,,,2017.0,,M,109.0
488,E000296,"Evans, Dwight",Democratic,Pennsylvania,https://api.congress.gov/v3/member/E000296?format=json,3.0,,,2016.0,,M,40.0
489,C001108,"Comer, James",Republican,Kentucky,https://api.congress.gov/v3/member/C001108?format=json,1.0,,,2016.0,,M,32.0
490,D000626,"Davidson, Warren",Republican,Ohio,https://api.congress.gov/v3/member/D000626?format=json,8.0,,,2016.0,,M,76.0
491,L000585,"LaHood, Darin",Republican,Illinois,https://api.congress.gov/v3/member/L000585?format=json,16.0,,,2015.0,,M,75.0
492,K000388,"Kelly, Trent",Republican,Mississippi,https://api.congress.gov/v3/member/K000388?format=json,1.0,,,2015.0,,M,46.0
493,D000625,"Donovan, Daniel M., Jr.",Republican,New York,https://api.congress.gov/v3/member/D000625?format=json,11.0,,,2015.0,2019.0,M,36.0
494,P000612,"Perdue, David",Republican,Georgia,https://api.congress.gov/v3/member/P000612?format=json,,2021.0,2015.0,,,M,169.0
495,J000297,"Jenkins, Evan H.",Republican,West Virginia,https://api.congress.gov/v3/member/J000297?format=json,3.0,,,2015.0,2018.0,M,25.0
496,M001195,"Mooney, Alexander X.",Republican,West Virginia,https://api.congress.gov/v3/member/M001195?format=json,2.0,,,2015.0,,M,63.0
497,G000576,"Grothman, Glenn",Republican,Wisconsin,https://api.congress.gov/v3/member/G000576?format=json,6.0,,,2015.0,,M,115.0
498,N000189,"Newhouse, Dan",Republican,Washington,https://api.congress.gov/v3/member/N000189?format=json,4.0,,,2015.0,,M,101.0
499,P000610,"Plaskett, Stacey E.",Democratic,Virgin Islands,https://api.congress.gov/v3/member/P000610?format=json,,,,2015.0,,F,102.0
500,C001105,"Comstock, Barbara",Republican,Virginia,https://api.congress.gov/v3/member/C001105?format=json,10.0,,,2015.0,2019.0,F,34.0
