,Bio Guide ID,Name,Party,State,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House,Suffix,Nickname,Last,First_Actual,Middle
287,J000101,"Jepsen, Roger W.",Republican,Iowa,,1985.0,1979.0,,,N,,6.0,,Y,N,,,Jepsen,Roger,W.
288,J000064,"Javits, Jacob K.",Republican,New York,,1981.0,1957.0,1947.0,1955.0,N,N,24.0,8.0,Y,Y,,,Javits,Jacob,K.
289,J000013,"Jackson, Henry M.",Democratic,Washington,,1985.0,1953.0,1941.0,1953.0,N,N,32.0,12.0,Y,Y,,,Jackson,Henry,M.
290,I000025,"Inouye, Daniel K.",Democratic,Hawaii,,2012.0,1963.0,1959.0,1963.0,N,N,49.0,4.0,Y,Y,,,Inouye,Daniel,K.
291,H001016,"Hutchison, Kay Bailey",Republican,Texas,,2013.0,1993.0,,,N,,20.0,,Y,N,,,Hutchison,Kay,Bailey
292,H000956,"Humphrey, Muriel",Democratic,Minnesota,,1979.0,1977.0,,,N,,2.0,,Y,N,,,Humphrey,Muriel,
293,H000953,"Humphrey, Hubert H.",Democratic,Minnesota,,1965.0,1949.0,,,N,,16.0,,Y,N,,,Humphrey,Hubert,H.
294,H000951,"Humphrey, Gordon J.",Republican,New Hampshire,,1991.0,1979.0,,,N,,12.0,,Y,N,,,Humphrey,Gordon,J.
295,H000922,"Hughes, Harold E.",Democratic,Iowa,,1975.0,1969.0,,,N,,6.0,,Y,N,,,Hughes,Harold,E.
296,H000905,"Huddleston, Walter ",Democratic,Kentucky,,1985.0,1973.0,,,N,,12.0,,Y,N,,Dee,Huddleston,Walter,
297,H000875,"Hruska, Roman L.",Republican,Nebraska,,1977.0,1953.0,,,N,,24.0,,Y,N,,,Hruska,Roman,L.
298,H000725,"Hollings, Ernest F.",Democratic,South Carolina,,2005.0,1965.0,,,N,,40.0,,Y,N,,,Hollings,Ernest,F.
299,H000675,"Hodges, Kaneaster, ",Democratic,Arkansas,,1979.0,1977.0,,,N,,2.0,,Y,N,Jr.,,Hodges,Kaneaster,
300,H000463,"Helms, Jesse",Republican,North Carolina,,2003.0,1973.0,,,N,,30.0,,Y,N,,,Helms,Jesse,
301,H000445,"Heflin, Howell",Democratic,Alabama,,1997.0,1979.0,,,N,,18.0,,Y,N,,,Heflin,Howell,
302,H000439,"Hecht, Chic",Republican,Nevada,,1989.0,1983.0,,,N,,6.0,,Y,N,,,Hecht,Chic,
303,H000384,"Hayakawa, Samuel Ichiye",Republican,California,,1983.0,1977.0,,,N,,6.0,,Y,N,,,Hayakawa,Samuel,Ichiye
304,H000374,"Hawkins, Paula",Republican,Florida,,1987.0,1981.0,,,N,,6.0,,Y,N,,,Hawkins,Paula,
305,H000346,"Hathaway, William D.",Democratic,Maine,,1979.0,1973.0,1965.0,1973.0,N,N,6.0,8.0,Y,Y,,,Hathaway,William,D.
306,H000344,"Hatfield, Paul",Democratic,Montana,,1979.0,1977.0,,,N,,2.0,,Y,N,,,Hatfield,Paul,
307,H000343,"Hatfield, Mark O.",Republican,Oregon,,1997.0,1967.0,,,N,,30.0,,Y,N,,,Hatfield,Mark,O.
308,H000338,"Hatch, Orrin G.",Republican,Utah,,2019.0,1977.0,,,N,,42.0,,Y,N,,,Hatch,Orrin,G.
309,H000317,"Haskell, Floyd K.",Democratic,Colorado,,1979.0,1973.0,,,N,,6.0,,Y,N,,,Haskell,Floyd,K.
310,H000297,"Hartke, Vance",Democratic,Indiana,,1977.0,1959.0,,,N,,18.0,,Y,N,,,Hartke,Vance,
311,H000291,"Hart, Philip A.",Democratic,Michigan,,1977.0,1959.0,,,N,,18.0,,Y,N,,,Hart,Philip,A.
312,H000287,"Hart, Gary W.",Democratic,Colorado,,1987.0,1975.0,,,N,,12.0,,Y,N,,,Hart,Gary,W.
313,H000170,"Hansen, Clifford P.",Republican,Wyoming,,1979.0,1967.0,,,N,,12.0,,Y,N,,,Hansen,Clifford,P.
314,G000531,"Gurney, Edward J.",Republican,Florida,,1975.0,1973.0,1963.0,1969.0,N,N,2.0,6.0,Y,Y,,,Gurney,Edward,J.
315,G000465,"Griffin, Robert P.",Republican,Michigan,,1979.0,1973.0,1957.0,1965.0,N,N,6.0,8.0,Y,Y,,,Griffin,Robert,P.
316,G000388,"Gravel, Mike",Democratic,Alaska,,1981.0,1969.0,,,N,,12.0,,Y,N,,,Gravel,Mike,
317,G000352,"Graham, Bob",Democratic,Florida,,2005.0,1987.0,,,N,,18.0,,Y,N,,,Graham,Bob,
318,G000333,"Gorton, Slade",Republican,Washington,,1987.0,1981.0,,,N,,6.0,,Y,N,,,Gorton,Slade,
319,G000267,"Goldwater, Barry",Republican,Arizona,,1965.0,1953.0,,,N,,12.0,,Y,N,,,Goldwater,Barry,
320,G000236,"Glenn, John H., ",Democratic,Ohio,,1999.0,1975.0,,,N,,24.0,,Y,N,Jr.,,Glenn,John,H.
321,G000072,"Garn, E. J. ",Republican,Utah,,1993.0,1975.0,,,N,,18.0,,Y,N,,Jake,Garn,E.,J.
322,F000401,"Fulbright, James",Democratic,Arkansas,,1947.0,1945.0,1943.0,1945.0,N,N,2.0,2.0,Y,Y,,,Fulbright,James,
323,F000439,"Frist, William H.",Republican,Tennessee,,2007.0,1995.0,,,N,,12.0,,Y,N,,,Frist,William,H.
324,F000438,"Frahm, Sheila",Republican,Kansas,,1997.0,1995.0,,,N,,2.0,,Y,N,,,Frahm,Sheila,
325,F000268,"Ford, Wendell H.",Democratic,Kentucky,,1999.0,1975.0,,,N,,24.0,,Y,N,,,Ford,Wendell,H.
326,F000245,"Fong, Hiram L.",Republican,Hawaii,,1977.0,1959.0,,,N,,18.0,,Y,N,,,Fong,Hiram,L.
327,F000061,"Feingold, Russell D.",Democratic,Wisconsin,,2011.0,1993.0,,,N,,18.0,,Y,N,,,Feingold,Russell,D.
328,F000013,"Fannin, Paul J.",Republican,Arizona,,1977.0,1965.0,,,N,,12.0,,Y,N,,,Fannin,Paul,J.
329,F000437,"Faircloth, Lauch",Republican,North Carolina,,1999.0,1993.0,,,N,,6.0,,Y,N,,,Faircloth,Lauch,
330,E000284,"Exon, J. James",Democratic,Nebraska,,1997.0,1979.0,,,N,,18.0,,Y,N,,,Exon,J.,James
331,E000236,"Evans, Daniel J.",Republican,Washington,,1989.0,1983.0,,,N,,6.0,,Y,N,,,Evans,Daniel,J.
332,E000211,"Ervin, Sam J., ",Democratic,North Carolina,,1975.0,1973.0,1945.0,1947.0,N,N,2.0,2.0,Y,Y,Jr.,,Ervin,Sam,J.
333,E000018,"Eastland, James O.",Democratic,Mississippi,,1979.0,1941.0,,,N,,38.0,,Y,N,,,Eastland,James,O.
334,E000017,"East, John P.",Republican,North Carolina,,1987.0,1981.0,,,N,,6.0,,Y,N,,,East,John,P.
335,E000004,"Eagleton, Thomas F.",Democratic,Missouri,,1987.0,1967.0,,,N,,20.0,,Y,N,,,Eagleton,Thomas,F.
336,D000574,"Durkin, John A.",Democratic,New Hampshire,,1981.0,1975.0,,,N,,6.0,,Y,N,,,Durkin,John,A.
337,D000409,"Dominick, Peter H.",Republican,Colorado,,1975.0,1973.0,1961.0,1963.0,N,N,2.0,2.0,Y,Y,,,Dominick,Peter,H.
338,D000407,"Domenici, Pete V.",Republican,New Mexico,,2009.0,1973.0,,,N,,36.0,,Y,N,,,Domenici,Pete,V.
339,D000401,"Dole, Robert J.",Republican,Kansas,,1997.0,1969.0,1961.0,1969.0,N,N,28.0,8.0,Y,Y,,,Dole,Robert,J.
340,D000366,"Dixon, Alan J.",Democratic,Illinois,,1993.0,1981.0,,,N,,12.0,,Y,N,,,Dixon,Alan,J.
341,D000259,"Denton, Jeremiah",Republican,Alabama,,1987.0,1981.0,,,N,,6.0,,Y,N,,,Denton,Jeremiah,
342,D000185,"DeConcini, Dennis",Democratic,Arizona,,1995.0,1977.0,,,N,,18.0,,Y,N,,,DeConcini,Dennis,
343,D000030,"Danforth, John C.",Republican,Missouri,,1995.0,1977.0,,,N,,18.0,,Y,N,,,Danforth,John,C.
344,D000018,"D'Amato, Alfonse",Republican,New York,,1999.0,1981.0,,,N,,18.0,,Y,N,,,D'Amato,Alfonse,
345,C001006,"Curtis, Carl T.",Republican,Nebraska,,1979.0,1955.0,1939.0,1955.0,N,N,24.0,16.0,Y,Y,,,Curtis,Carl,T.
346,C000877,"Cranston, Alan",Democratic,California,,1993.0,1969.0,,,N,,24.0,,Y,N,,,Cranston,Alan,
347,C000813,"Coverdell, Paul",Republican,Georgia,,2000.0,1993.0,,,N,,7.0,,Y,N,,,Coverdell,Paul,
348,C000705,"Conrad, Kent",Democratic,North Dakota,,2013.0,1987.0,,,N,,26.0,,Y,N,,,Conrad,Kent,
349,C000567,"Cochran, Thad",Republican,Mississippi,,2018.0,1979.0,1973.0,1979.0,N,N,39.0,6.0,Y,Y,,,Cochran,Thad,
350,C000448,"Clark, Dick",Democratic,Iowa,,1979.0,1973.0,,,N,,6.0,,Y,N,,,Clark,Dick,
351,C000388,"Church, Frank",Democratic,Idaho,,1981.0,1957.0,,,N,,24.0,,Y,N,,,Church,Frank,
