,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year
1455,M000881,"Moody, Jim",Democratic,Wisconsin,https://api.congress.gov/v3/member/M000881?format=json,5.0,,,1983,1993
1456,M000865,"Montgomery, G. V. (Sonny)",Democratic,Mississippi,https://api.congress.gov/v3/member/M000865?format=json,3.0,,,1967,1997
1457,M000860,"Monson, David S.",Republican,Utah,https://api.congress.gov/v3/member/M000860?format=json,2.0,,,1985,1987
1458,M000845,"Mollohan, Robert H.",Democratic,West Virginia,https://api.congress.gov/v3/member/M000845?format=json,1.0,,,1953,1957
1459,M000844,"Mollohan, Alan B.",Democratic,West Virginia,https://api.congress.gov/v3/member/M000844?format=json,1.0,,,1983,2011
1460,M000843,"Molinari, Susan",Republican,New York,https://api.congress.gov/v3/member/M000843?format=json,13.0,,,1989,1999
1461,M000842,"Molinari, Guy",Republican,New York,https://api.congress.gov/v3/member/M000842?format=json,14.0,,,1981,1991
1462,M000839,"Moffett, Toby",Democratic,Connecticut,https://api.congress.gov/v3/member/M000839?format=json,6.0,,,1975,1983
1463,M000834,"Moakley, John Joseph",Democratic,Massachusetts,https://api.congress.gov/v3/member/M000834?format=json,9.0,,,1973,2001
1464,M000833,"Mizell, Wilmer",Republican,North Carolina,https://api.congress.gov/v3/member/M000833?format=json,5.0,,,1969,1975
1465,M000826,"Mitchell, Parren J.",Democratic,Maryland,https://api.congress.gov/v3/member/M000826?format=json,7.0,,,1971,1987
1466,M000808,"Mitchell, Donald J.",Republican,New York,https://api.congress.gov/v3/member/M000808?format=json,31.0,,,1973,1983
1467,M000799,"Minshall, William E.",Republican,Ohio,https://api.congress.gov/v3/member/M000799?format=json,23.0,,,1955,1975
1468,M000797,"Mink, Patsy T.",Democratic,Hawaii,https://api.congress.gov/v3/member/M000797?format=json,2.0,,,1965,1977
1469,M000796,"Minish, Joseph G.",Democratic,New Jersey,https://api.congress.gov/v3/member/M000796?format=json,11.0,,,1963,1985
1470,M000795,"Minge, David",Democratic,Minnesota,https://api.congress.gov/v3/member/M000795?format=json,2.0,,,1993,2001
1471,M000794,"Mineta, Norman Y.",Democratic,California,https://api.congress.gov/v3/member/M000794?format=json,15.0,,,1975,1997
1472,M000779,"Mills, William O.",Republican,Maryland,https://api.congress.gov/v3/member/M000779?format=json,1.0,,,1971,1975
1473,M000778,"Mills, Wilbur D.",Democratic,Arkansas,https://api.congress.gov/v3/member/M000778?format=json,2.0,,,1939,1977
1474,M000736,"Miller, John R.",Republican,Washington,https://api.congress.gov/v3/member/M000736?format=json,1.0,,,1985,1993
1475,M000725,"Miller, George",Democratic,California,https://api.congress.gov/v3/member/M000725?format=json,11.0,,,1975,2015
1476,M000720,"Miller, Dan",Republican,Florida,https://api.congress.gov/v3/member/M000720?format=json,13.0,,,1993,2003
1477,M000718,"Miller, Clarence E.",Republican,Ohio,https://api.congress.gov/v3/member/M000718?format=json,10.0,,,1967,1993
1478,M000714,"Millender-McDonald, Juanita",Democratic,California,https://api.congress.gov/v3/member/M000714?format=json,37.0,,,1995,2007
1479,M000708,"Milford, Dale",Democratic,Texas,https://api.congress.gov/v3/member/M000708?format=json,24.0,,,1973,1979
1480,M000703,"Mikva, Abner J.",Democratic,Illinois,https://api.congress.gov/v3/member/M000703?format=json,10.0,,,1969,1973
1481,M000702,"Mikulski, Barbara A.",Democratic,Maryland,https://api.congress.gov/v3/member/M000702?format=json,,2017,1987,1977,1987
1482,M000692,"Michel, Robert H.",Republican,Illinois,https://api.congress.gov/v3/member/M000692?format=json,18.0,,,1957,1995
1483,M000689,"Mica, John L.",Republican,Florida,https://api.congress.gov/v3/member/M000689?format=json,7.0,,,1993,2017
1484,M000688,"Mica, Daniel Andrew",Democratic,Florida,https://api.congress.gov/v3/member/M000688?format=json,14.0,,,1979,1989
1485,M000129,"Margolies-Mezvinsky, Marjorie",Democratic,Pennsylvania,https://api.congress.gov/v3/member/M000129?format=json,13.0,,,1993,1995
1486,M000686,"Mezvinsky, Edward",Democratic,Iowa,https://api.congress.gov/v3/member/M000686?format=json,1.0,,,1973,1977
1487,M000685,"Meyner, Helen S.",Democratic,New Jersey,https://api.congress.gov/v3/member/M000685?format=json,13.0,,,1975,1979
1488,M000684,"Meyers, Jan",Republican,Kansas,https://api.congress.gov/v3/member/M000684?format=json,3.0,,,1985,1997
1489,M000675,"Metcalfe, Ralph H.",Democratic,Illinois,https://api.congress.gov/v3/member/M000675?format=json,1.0,,,1971,1979
1490,M000669,"Metcalf, Jack",Republican,Washington,https://api.congress.gov/v3/member/M000669?format=json,2.0,,,1995,2001
1491,M000635,"Melcher, John",Democratic,Montana,https://api.congress.gov/v3/member/M000635?format=json,,1989,1977,1969,1977
1492,M000628,"Meek, Carrie P.",Democratic,Florida,https://api.congress.gov/v3/member/M000628?format=json,17.0,,,1993,2003
1493,M000626,"Meeds, Lloyd",Democratic,Washington,https://api.congress.gov/v3/member/M000626?format=json,2.0,,,1965,1979
1494,M000603,"McSpadden, Clem Rogers",Democratic,Oklahoma,https://api.congress.gov/v3/member/M000603?format=json,2.0,,,1973,1975
1495,M000590,"McNulty, Michael R.",Democratic,New York,https://api.congress.gov/v3/member/M000590?format=json,21.0,,,1989,2009
1496,M000589,"McNulty, James F., Jr.",Democratic,Arizona,https://api.congress.gov/v3/member/M000589?format=json,5.0,,,1983,1985
1497,M000573,"McMillen, Thomas",Democratic,Maryland,https://api.congress.gov/v3/member/M000573?format=json,4.0,,,1987,1993
1498,M000566,"McMillan, J. Alex",Republican,North Carolina,https://api.congress.gov/v3/member/M000566?format=json,9.0,,,1985,1995
1499,M000527,"McKinney, Stewart B.",Republican,Connecticut,https://api.congress.gov/v3/member/M000527?format=json,4.0,,,1971,1989
1500,M000523,"McKinney, Cynthia A.",Democratic,Georgia,https://api.congress.gov/v3/member/M000523?format=json,4.0,,,1993,2003
1501,M000512,"McKernan, John R., Jr.",Republican,Maine,https://api.congress.gov/v3/member/M000512?format=json,1.0,,,1983,1987
1502,M000508,"McKeon, Howard P. ""Buck""",Republican,California,https://api.congress.gov/v3/member/M000508?format=json,25.0,,,1993,2015
1503,M000490,"McKay, K. Gunn",Democratic,Utah,https://api.congress.gov/v3/member/M000490?format=json,1.0,,,1971,1981
1504,M000481,"McIntosh, David M.",Republican,Indiana,https://api.congress.gov/v3/member/M000481?format=json,2.0,,,1995,2001
1505,M000477,"McInnis, Scott",Republican,Colorado,https://api.congress.gov/v3/member/M000477?format=json,3.0,,,1993,2005
1506,M000473,"McHugh, Matthew F.",Democratic,New York,https://api.congress.gov/v3/member/M000473?format=json,28.0,,,1975,1993
1507,M000466,"McHale, Paul",Democratic,Pennsylvania,https://api.congress.gov/v3/member/M000466?format=json,15.0,,,1993,1999
1508,M000458,"McGrath, Raymond J.",Republican,New York,https://api.congress.gov/v3/member/M000458?format=json,5.0,,,1981,1993
