,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House
1064,W000607,"Wilson, Pete",Republican,California,https://api.congress.gov/v3/member/W000607?format=json,,1993.0,1983.0,,,N,,10.0,,Y,N
1065,W000502,"Williams, Harrison A., Jr.",Democratic,New Jersey,https://api.congress.gov/v3/member/W000502?format=json,,1982.0,1959.0,1953.0,1957.0,N,N,23.0,4.0,Y,Y
1066,W000288,"Wellstone, Paul D.",Democratic,Minnesota,https://api.congress.gov/v3/member/W000288?format=json,,2002.0,1991.0,,,N,,11.0,,Y,N
1067,W000253,"Weicker, Lowell P., Jr.",Republican,Connecticut,https://api.congress.gov/v3/member/W000253?format=json,,1989.0,1973.0,1969.0,1971.0,N,N,16.0,2.0,Y,Y
1068,W000092,"Wallop, Malcolm",Republican,Wyoming,https://api.congress.gov/v3/member/W000092?format=json,,1995.0,1977.0,,,N,,18.0,,Y,N
1069,T000410,"Tunney, John V.",Democratic,California,https://api.congress.gov/v3/member/T000410?format=json,,1977.0,1973.0,1965.0,1973.0,N,N,4.0,8.0,Y,Y
1070,T000322,"Tower, John G.",Republican,Texas,https://api.congress.gov/v3/member/T000322?format=json,,1985.0,1961.0,,,N,,24.0,,Y,N
1071,T000457,"Thompson, Fred",Republican,Tennessee,https://api.congress.gov/v3/member/T000457?format=json,,2003.0,1994.0,,,N,,9.0,,Y,N
1072,B000401,"Bentsen, Lloyd M.",Democratic,Texas,https://api.congress.gov/v3/member/B000401?format=json,,1993.0,1971.0,1947.0,1955.0,N,N,22.0,8.0,Y,Y
1073,B000384,"Bennett, Wallace F.",Republican,Utah,https://api.congress.gov/v3/member/B000384?format=json,,1975.0,1951.0,,,N,,24.0,,Y,N
1074,B000382,"Bennett, Robert F.",Republican,Utah,https://api.congress.gov/v3/member/B000382?format=json,,2011.0,1993.0,,,N,,18.0,,Y,N
1075,B000351,"Bellmon, Henry L.",Republican,Oklahoma,https://api.congress.gov/v3/member/B000351?format=json,,1981.0,1969.0,,,N,,12.0,,Y,N
1076,B000272,"Beall, J. Glenn, Jr.",Republican,Maryland,https://api.congress.gov/v3/member/B000272?format=json,,1977.0,1973.0,1969.0,1971.0,N,N,4.0,2.0,Y,Y
1077,B000254,"Bayh, Birch",Democratic,Indiana,https://api.congress.gov/v3/member/B000254?format=json,,1981.0,1963.0,,,N,,18.0,,Y,N
1078,B000200,"Bartlett, Dewey F.",Republican,Oklahoma,https://api.congress.gov/v3/member/B000200?format=json,,1979.0,1973.0,,,N,,6.0,,Y,N
1079,B000063,"Baker, Howard H., Jr.",Republican,Tennessee,https://api.congress.gov/v3/member/B000063?format=json,,1985.0,1967.0,,,N,,18.0,,Y,N
1080,A000356,"Ashcroft, John",Republican,Missouri,https://api.congress.gov/v3/member/A000356?format=json,,2001.0,1995.0,,,N,,6.0,,Y,N
1081,A000202,"Anderson, Wendell R.",Democratic,Minnesota,https://api.congress.gov/v3/member/A000202?format=json,,1979.0,1977.0,,,N,,2.0,,Y,N
1082,A000139,"Allen, Maryon",Democratic,Alabama,https://api.congress.gov/v3/member/A000139?format=json,,1979.0,1977.0,,,N,,2.0,,Y,N
1083,A000127,"Allen, James B.",Democratic,Alabama,https://api.congress.gov/v3/member/A000127?format=json,,1979.0,1969.0,,,N,,10.0,,Y,N
1084,A000062,"Aiken, George",Republican,Vermont,https://api.congress.gov/v3/member/A000062?format=json,,1975.0,1941.0,,,N,,34.0,,Y,N
