,Unnamed: 0,Bio Guide ID,Name,Party,State,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House,Suffix,Nickname,Last,First_Actual,Middle,First Last,2013 Contributions,2014 Contributions,2015 Contributions,2016 Contributions,2017 Contributions,2018 Contributions,2019 Contributions,2020 Contributions,2021 Contributions,2022 Contributions,Total Contributions 2013-2022
193,193,W000647,"Wirth, Timothy",Democratic,Colorado,,1993.0,1987.0,1975.0,1987.0,N,N,6.0,12.0,Y,Y,,,Wirth,Timothy,,Timothy Wirth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,194,T000393,"Tsongas, Paul E.",Democratic,Massachusetts,,1985.0,1979.0,1975.0,1979.0,N,N,6.0,4.0,Y,Y,,,Tsongas,Paul,E.,Paul Tsongas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,195,T000367,"Trible, Paul S., ",Republican,Virginia,,1989.0,1983.0,1977.0,1983.0,N,N,6.0,6.0,Y,Y,Jr.,,Trible,Paul,S.,Paul Trible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,196,T000317,"Torricelli, Robert G.",Democratic,New Jersey,,2003.0,1997.0,1983.0,1997.0,N,N,6.0,14.0,Y,Y,,,Torricelli,Robert,G.,Robert Torricelli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,197,T000162,"Thomas, Craig",Republican,Wyoming,,2007.0,1995.0,1989.0,1995.0,N,N,12.0,6.0,Y,Y,,,Thomas,Craig,,Craig Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,198,T000024,"Talent, Jim",Republican,Missouri,,2007.0,2002.0,1993.0,2001.0,N,N,5.0,8.0,Y,Y,,,Talent,Jim,,Jim Talent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,199,S001138,"Symms, Steven D.",Republican,Idaho,,1993.0,1981.0,1973.0,1981.0,N,N,12.0,8.0,Y,Y,,,Symms,Steven,D.,Steven Symms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,200,S000663,"Snowe, Olympia J.",Republican,Maine,,2013.0,1995.0,1979.0,1995.0,N,N,18.0,16.0,Y,Y,,,Snowe,Olympia,J.,Olympia Snowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,201,S000606,"Smith, Bob",Republican,New Hampshire,,2003.0,1991.0,1985.0,1991.0,N,N,12.0,6.0,Y,Y,,,Smith,Bob,,Bob Smith,1000.0,4100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5100.0
202,202,S000423,"Simon, Paul",Democratic,Illinois,,1997.0,1985.0,1975.0,1985.0,N,N,12.0,10.0,Y,Y,,,Simon,Paul,,Paul Simon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,203,S000064,"Sarbanes, Paul S.",Democratic,Maryland,,2007.0,1977.0,1971.0,1977.0,N,N,30.0,6.0,Y,Y,,,Sarbanes,Paul,S.,Paul Sarbanes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,2000.0
204,204,S000059,"Santorum, Rick",Republican,Pennsylvania,,2007.0,1995.0,1991.0,1995.0,N,N,12.0,4.0,Y,Y,,,Santorum,Rick,,Rick Santorum,593.8900000000001,1000.0,21830.19,250.0,250.0,500.0,0.0,0.0,0.0,0.0,24424.079999999998
